序号,项目名称,日志文件,target.json,环境搭建,漏洞发现,PoC脚本,复现结果,漏洞数,PoC数,流水线阶段,备注,审阅人
1,AgentGPT,result_0038.log,Y,Y,Y,Y,Y,2,2,9,,
2,DB-GPT,result_0037.log,Y,Y,Y,Y,Y,6,6,9,,
3,FastChat,result_0029.log,Y,Y,Y,Y,Y,3,3,9,,
4,GPTCache,result_0030.log,Y,Y,Y,Y,Y,3,3,9,,
5,HyperLPR,result_0039.log,Y,Y,Y,Y,Y,4,4,9,,
6,InvokeAI,result_0033.log,Y,Y,Y,Y,Y,5,5,9,,
7,SWE-agent,result_0034.log,Y,Y,Y,Y,Y,4,4,9,,
8,airflow,result_0015.log,Y,Y,Y,Y,Y,5,5,9,,
9,aws-cli,result_0017.log,Y,Y,Y,Y,Y,5,5,9,,
10,dify,result_0028.log,Y,Y,Y,Y,Y,5,5,9,,
11,elasticsearch-py,result_0019.log,Y,Y,Y,Y,Y,3,3,9,,
12,fairseq,result_0014.log,Y,Y,Y,Y,Y,5,5,9,,
13,feast,result_0026.log,Y,Y,Y,Y,Y,4,4,9,,
14,gpt_academic,result_0032.log,Y,Y,Y,Y,Y,6,6,9,,
15,h5py,result_0020.log,Y,N,Y,Y,Y,4,4,9,缺少ENVIRONMENT_SETUP.md,
16,imaginAIry,result_0035.log,Y,N,Y,Y,Y,6,6,9,缺少ENVIRONMENT_SETUP.md,
17,jupyter,result_0016.log,Y,N,Y,Y,Y,5,5,9,缺少ENVIRONMENT_SETUP.md,
18,keras,result_0006.log,Y,Y,Y,Y,Y,5,5,9,,
19,keras-tuner,result_0023.log,Y,Y,Y,Y,N,4,1,5,流水线未完成(阶段5);仅1个PoC;无results.json,
20,llama_index,result_0013.log,Y,Y,Y,Y,Y,7,7,9,,
21,metaflow,result_0018.log,Y,Y,Y,Y,Y,4,4,9,,
22,mlflow,result_0008.log,Y,Y,Y,Y,Y,5,6,9,,
23,mongo-python-driver,result_0003.log,Y,Y,Y,Y,Y,4,4,9,,
24,neural-compressor,result_0002.log,Y,Y,Y,Y,Y,4,4,9,,
25,nltk,result_0009.log,Y,Y,Y,Y,Y,6,7,9,,
26,onnx,result_0007.log,Y,Y,Y,Y,Y,4,4,9,,
27,pyro,result_0040.log,Y,Y,Y,Y,Y,6,6,9,,
28,pytorch,result_0005.log,Y,Y,Y,Y,Y,5,5,9,,
29,ragas,result_0027.log,Y,Y,Y,Y,Y,5,5,9,,
30,ragflow,result_0025.log,Y,Y,N,Y,N,0,0,2,无vulnerabilities.json;无PoC;流水线阶段2中断,
31,sagemaker-python-sdk,result_0012.log,Y,Y,Y,Y,Y,6,6,9,,
32,scikit-optimize,result_0022.log,Y,Y,Y,Y,Y,3,3,9,,
33,serge,result_0036.log,Y,Y,Y,Y,Y,5,5,9,,
34,server,result_0011.log,Y,Y,Y,Y,Y,4,4,9,,
35,smolagents,result_0024.log,Y,Y,Y,Y,N,6,0,5,流水线未完成(阶段5);有漏洞但无PoC脚本;无results.json,
36,sonnet,result_0021.log,Y,Y,Y,Y,Y,4,4,9,,
37,spark,result_0000.log,Y,Y,Y,Y,Y,6,6,9,,
38,stable-diffusion-webui,result_0031.log,Y,Y,Y,Y,Y,6,5,9,,
39,text-generation-inference,result_0001.log,Y,Y,Y,Y,Y,6,7,9,,
40,transformers,result_0004.log,Y,Y,Y,Y,Y,5,5,9,,
41,tvm,result_0010.log,Y,Y,Y,Y,Y,6,6,9,,
